id;jhi_date;jhi_value;fund_id
446;2017-01-11;604.68;4
447;2017-01-10;604.06;4
448;2017-01-09;604.29;4
449;2017-01-06;603.23;4
450;2017-01-05;603.94;4
451;2017-01-04;604.95;4
452;2017-01-03;605.12;4
453;2017-01-02;606.87;4
454;2016-12-30;606.11;4
455;2016-12-29;606.58;4
456;2016-12-28;606.60;4
457;2016-12-27;606.28;4
458;2016-12-23;605.98;4
459;2016-12-22;605.58;4
460;2016-12-21;606.16;4
461;2016-12-20;606.02;4
462;2016-12-19;606.14;4
463;2016-12-16;605.04;4
464;2016-12-15;605.05;4
465;2016-12-14;605.68;4
466;2016-12-13;604.46;4
467;2016-12-12;602.79;4
468;2016-12-09;603.02;4
469;2016-12-08;603.00;4
470;2016-12-07;604.21;4
471;2016-12-06;603.31;4
472;2016-12-05;602.97;4
473;2016-12-02;603.87;4
474;2016-12-01;601.98;4
475;2016-11-30;603.66;4
476;2016-11-29;604.38;4
477;2016-11-28;603.60;4
478;2016-11-25;602.93;4
479;2016-11-24;602.56;4
480;2016-11-23;602.71;4
481;2016-11-22;604.19;4
482;2016-11-21;602.81;4
483;2016-11-18;602.59;4
484;2016-11-17;602.62;4
485;2016-11-16;603.17;4
486;2016-11-15;604.22;4
487;2016-11-14;602.66;4
488;2016-11-11;603.69;4
489;2016-11-10;605.46;4
490;2016-11-09;607.73;4
491;2017-05-04;724.82;5
492;2017-05-03;726.09;5
493;2017-05-02;726.76;5
494;2017-04-28;726.94;5
495;2017-04-27;726.68;5
496;2017-04-26;726.86;5
497;2017-04-25;725.84;5
498;2017-04-24;728.05;5
499;2017-04-21;728.59;5
500;2017-04-20;728.78;5
501;2017-04-19;729.68;5
502;2017-04-18;731.53;5
503;2017-04-13;730.14;5
504;2017-04-12;730.03;5
505;2017-04-11;727.88;5
506;2017-04-10;725.78;5
507;2017-04-07;725.30;5
508;2017-04-06;726.38;5
509;2017-04-05;726.55;5
510;2017-04-04;725.55;5
511;2017-04-03;726.98;5
512;2017-03-31;724.86;5
513;2017-03-30;724.17;5
514;2017-03-29;725.06;5
515;2017-03-28;723.82;5
516;2017-03-27;724.95;5
517;2017-03-24;723.86;5
518;2017-03-23;723.50;5
519;2017-03-22;723.82;5
520;2017-03-21;723.45;5
521;2017-03-20;721.73;5
522;2017-03-17;720.40;5
523;2017-03-16;719.17;5
524;2017-03-15;719.60;5
525;2017-03-14;716.00;5
526;2017-03-13;715.19;5
527;2017-03-10;716.67;5
528;2017-03-09;715.44;5
529;2017-03-08;717.38;5
530;2017-03-07;719.33;5
531;2017-03-06;720.32;5
532;2017-03-03;720.68;5
533;2017-03-02;720.74;5
534;2017-03-01;721.67;5
535;2017-02-28;724.58;5
536;2017-02-27;726.37;5
537;2017-02-24;727.80;5
538;2017-02-23;725.88;5
539;2017-02-22;723.47;5
540;2017-02-21;723.50;5
541;2017-02-20;724.36;5
542;2017-02-17;724.05;5
543;2017-02-16;723.36;5
544;2017-02-15;721.62;5
545;2017-02-14;721.93;5
546;2017-02-13;723.43;5
547;2017-02-10;724.53;5
548;2017-02-09;724.59;5
549;2017-02-08;726.59;5
550;2017-02-07;724.59;5
551;2017-02-06;724.46;5
552;2017-02-03;723.59;5
553;2017-02-02;723.20;5
554;2017-02-01;722.57;5
555;2017-01-31;723.48;5
556;2017-01-30;721.78;5
557;2017-01-27;721.65;5
558;2017-01-26;720.78;5
559;2017-01-25;720.67;5
560;2017-01-24;721.84;5
561;2017-01-23;723.20;5
562;2017-01-20;720.27;5
563;2017-01-19;719.97;5
564;2017-01-18;723.16;5
565;2017-01-17;726.40;5
566;2017-01-16;723.64;5
567;2017-01-13;723.60;5
568;2017-01-12;724.98;5
569;2017-01-11;723.34;5
570;2017-01-10;723.58;5
571;2017-01-09;723.63;5
572;2017-01-06;721.85;5
573;2017-01-05;724.44;5
574;2017-01-04;720.68;5
575;2017-01-03;719.27;5
576;2017-01-02;719.34;5
577;2016-12-30;719.37;5
578;2016-12-29;717.73;5
579;2016-12-28;715.97;5
580;2016-12-27;714.51;5
581;2016-12-23;715.35;5
582;2016-12-22;715.01;5
583;2016-12-21;715.64;5
584;2016-12-20;715.05;5
585;2016-12-19;715.56;5
586;2016-12-16;713.93;5
